normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
111/1/80 NYLON TWT DYED,WHITE ROSE TEXTILES LLP,TAX_INVOICE,2026-01-04,360.0,5.0,KGS,doc_001.pdf,P29129
111/1/80 NYLON TWT DYED,WHITE ROSE TEXTILES LLP,TAX_INVOICE,2026-01-04,360.0,1.0,KGS,doc_001.pdf,P29129
111/1/80 NYLON TWT DYED,KARBHARI CORPORATION,TAX_INVOICE,2026-01-04,375.0,7.0,KGS,doc_043.pdf,P29131
111/1/80 NYLON TWT DYED,KARBHARI CORPORATION,TAX_INVOICE,2026-01-04,380.0,78.57,KGS,doc_043.pdf,P29131
80/34/1000 T-TWT GREY YARN,SANIL TEX PVT LTD,DELIVERY_INSTRUCTION,2026-01-01,171.5,300.0,KGS,doc_002.pdf,DDS/00484/25-26
80/34/1000 T-TWT GREY YARN,BIMAL MARKETING LLP,DELIVERY_INSTRUCTION,2026-01-09,172.5,130.0,KGS,doc_044.pdf,DDS/00492/25-26
80/34/1000 T-TWT GREY YARN,SANIL TEX PVT LTD,DELIVERY_INSTRUCTION,2026-01-10,171.5,700.0,KGS,doc_099.pdf,DDS/00493/25-26
80/34/1000 T-TWT GREY YARN,RATUL TEX PVT. LTD.,DELIVERY_INSTRUCTION,2026-01-21,173.5,200.0,KGS,doc_114.pdf,DDS/00521/25-26
80/34/1000 T-TWT GREY YARN,DEEP SILK MILLS,DELIVERY_INSTRUCTION,2026-01-23,170.0,80.0,KGS,doc_048.pdf,DDS/00533/25-26
200/48/350 T-TWT GREY YARN,MAHAJAN SILK MILLS,DELIVERY_INSTRUCTION,2026-01-12,128.5,4200.0,KGS,doc_003.pdf,DDS/00499/25-26
70/2/80 NYLON TWT DYED,SRI VIGNESH TEXTILES,TAX_INVOICE,2026-01-01,387.0,101.165,KGS,doc_014.pdf,P29096
70/2/80 NYLON TWT DYED,SRI VIGNESH TEXTILES,TAX_INVOICE,2026-01-01,387.0,95.77,KGS,doc_014.pdf,P29096
70/2/80 NYLON TWT DYED,SRI VIGNESH TEXTILES,TAX_INVOICE,2026-01-01,387.0,99.265,KGS,doc_054.pdf,P29103
70/2/80 NYLON TWT DYED,PAGE INDUSTRIES LTD,TAX_INVOICE,2026-01-03,368.0,1.0,KGS,doc_004.pdf,P29119
70/2/80 NYLON TWT DYED,PAGE INDUSTRIES LTD,TAX_INVOICE,2026-01-03,368.0,187.75,KGS,doc_042.pdf,P29120
70/2/80 NYLON TWT DYED,PAGE INDUSTRIES LTD,TAX_INVOICE,2026-01-03,368.0,13.0,KGS,doc_123.pdf,P29121
70/2/80 NYLON TWT DYED,LEADER TAPES,TAX_INVOICE,2026-01-04,382.0,110.915,KGS,doc_029.pdf,P29135
70/2/80 NYLON TWT DYED,LEADER TAPES,TAX_INVOICE,2026-01-04,382.0,219.61,KGS,doc_029.pdf,P29135
70/2/80 NYLON TWT DYED,LEADER TAPES,TAX_INVOICE,2026-01-04,382.0,209.42,KGS,doc_029.pdf,P29135
70/2/80 NYLON TWT DYED,LEADER TAPES,TAX_INVOICE,2026-01-04,382.0,225.66,KGS,doc_029.pdf,P29135
70/2/80 NYLON TWT DYED,LEADER TAPES,TAX_INVOICE,2026-01-04,382.0,354.795,KGS,doc_029.pdf,P29135
70/2/80 NYLON TWT DYED,PAGE INDUSTRIES LTD,TAX_INVOICE,2026-01-05,368.0,70.53,KGS,doc_051.pdf,P29149
80/34/600 T-TWT GREY YARN,KINGSTON WEAVING INDUSTRIES,DELIVERY_INSTRUCTION,2026-01-01,163.0,250.0,KGS,doc_104.pdf,DDS/00485/25-26
80/34/600 T-TWT GREY YARN,KINGSTON WEAVING INDUSTRIES,DELIVERY_INSTRUCTION,2026-01-01,163.0,250.0,KGS,doc_112.pdf,DDS/00485/25-26
80/34/600 T-TWT GREY YARN,JSM ENTERPRISES,DELIVERY_INSTRUCTION,2026-01-21,163.0,450.0,KGS,doc_020.pdf,DDS/00517/25-26
80/34/600 T-TWT GREY YARN,,DELIVERY_INSTRUCTION,2026-01-27,164.0,1000.0,KGS,doc_005.pdf,DDS/00538/25-26
110/36 CATEX DYED YARN,DEVISHREE ENTERPRISES,TAX_INVOICE,2026-01-03,208.0,290.01,KGS,doc_132.pdf,P29116
110/36 CATEX DYED YARN,DEVISHREE ENTERPRISES,TAX_INVOICE,2026-01-05,208.0,155.9,KGS,doc_006.pdf,P29151
110/36 CATEX DYED YARN,H S DEVARAJU SILKS,TAX_INVOICE,2026-01-05,209.0,6.0,KGS,doc_130.pdf,P29152
120/75 X2 SPD-POLY-COVER BLACK DARK+10 - BLACK,GOLDEN GATES ENTERPRISES,DELIVERY_INSTRUCTION,2026-01-06,505.0,100.0,KGS,doc_015.pdf,DDS/00491/25-26
120/75 X2 SPD-POLY-COVER BLACK DARK+10 - BLACK,RESPA TEXTILES PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-22,480.0,3000.0,KGS,doc_007.pdf,DDS/00528/25-26
120/75 X2 SPD-POLY-COVER BLACK DARK+10 - BLACK,FRAM CREATIONS LLP,DELIVERY_INSTRUCTION,2026-01-22,505.0,200.0,KGS,doc_053.pdf,DDS/00525/25-26
265/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-11-25,87.3,15000.0,KGS,doc_077.pdf,POY/00280/25-26
265/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-11-25,87.3,15000.0,KGS,doc_131.pdf,DPY/00280/25-26
265/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-24,89.3,20000.0,KGS,doc_008.pdf,DPY/00366/25-26
. - RAW WHITE,GOLDEN GATES ENTERPRISES,DELIVERY_INSTRUCTION,2026-01-06,495.0,50.0,KGS,doc_070.pdf,DDS/00490/25-26
. - RAW WHITE,RG GLOBAL,DELIVERY_INSTRUCTION,2026-01-13,160.0,200.0,KGS,doc_056.pdf,DDS/00500/25-26
. - RAW WHITE,N K INDUSTRIES,DELIVERY_INSTRUCTION,2026-01-14,305.0,300.0,KGS,doc_141.pdf,DDS/00502/25-26
. - RAW WHITE,SPICA INDUSTRIES PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-16,365.0,700.0,KGS,doc_139.pdf,DDS/00509/25-26
. - RAW WHITE,VARDHMAN YARNS AND THREADS LIMITED (SEZ),DELIVERY_INSTRUCTION,2026-01-17,270.0,1000.0,KGS,doc_058.pdf,DDS/00514/25-26
. - RAW WHITE,VARDHMAN YARNS AND THREADS LIMITED,DELIVERY_INSTRUCTION,2026-01-17,270.0,500.0,KGS,doc_076.pdf,DDS/00512/25-26
. - RAW WHITE,VARDHMAN YARNS AND THREADS LIMITED,DELIVERY_INSTRUCTION,2026-01-17,207.0,10000.0,KGS,doc_092.pdf,DDS/00511/25-26
. - RAW WHITE,VARDHMAN YARNS AND THREADS LIMITED (SEZ),DELIVERY_INSTRUCTION,2026-01-17,207.0,3000.0,KGS,doc_102.pdf,DDS/00513/25-26
. - RAW WHITE,SPICA INDUSTRIES PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-22,365.0,2200.0,KGS,doc_009.pdf,DDS/00531/25-26
. - RAW WHITE,GULAB HOSIERY MFG CO,DELIVERY_INSTRUCTION,2026-01-22,300.0,25.0,KGS,doc_023.pdf,DDS/00526/25-26
. - RAW WHITE,RESPA TEXTILES PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-22,470.0,2000.0,KGS,doc_124.pdf,DDS/00529/25-26
. - RAW WHITE,FRAM CREATIONS LLP,DELIVERY_INSTRUCTION,2026-01-22,495.0,100.0,KGS,doc_145.pdf,DDS/00524/25-26
85/34/300 T-TWT DYED YARN,DEEP TEX,TAX_INVOICE,2026-01-04,241.5,124.6,KGS,doc_010.pdf,P29134
